nsecode,per_chg,close,volume
UFLEX,19.53,676.7,3935756
JINDALPOLY,18.71,889.5,1463862
PGEL,12.37,490.1,3280659
GANECOS,10.65,1773.85,262837
ISGEC,10.08,1497.55,295667
MIRCELECTR,9.9,22.98,3365207
SUVEN,9.9,142.36,2694943
VINYLINDIA,9.61,408.25,221207
VISHNU,8.76,439.35,467949
RADHIKAJWE,8.65,75.74,2351713
INTLCONV,8.37,85.35,1598871
KIRLPNU,7.88,1349.6,202620
ZENSARTECH,7.73,797.6,4344166
JINDALPHOT,7.5,844.45,40176
GENESYS,7.18,711.75,721174
MOL,7.13,93.42,3684427
WELCORP,6.93,706.7,4695996
JPOLYINVST,6.89,847.55,12032
VOLTAMP,6.81,13939.95,36027
VESUVIUS,6.64,5106.1,37554
POWERINDIA,6.37,11828.7,35705
MAPMYINDIA,6.32,2246.55,479505
ADVANIHOTR,6.23,79.28,740722
ABCAPITAL,6.2,216.09,10587128
LUMAXIND,6.11,2690.15,30715
DALMIASUG,5.9,406.7,212394
MCX,5.86,4636.35,1183924
SBCL,5.78,591.3,121557
KECL,5.75,213.99,618009
DLF,5.51,866.9,8826463
MADRASFERT,5.38,111.35,2847097
KIRLOSBROS,5.36,1985.95,96654
NBCC,5.28,182.79,23843576
SONACOMS,5.27,686.7,1924721
JUSTDIAL,5.27,1275.95,504563
COSMOFIRST,5.18,919.4,333574
MONARCH,5.12,716.75,294575
MGL,5.07,1817.9,607441
GMRP&UI,5.0,104.45,1970648
PARAS,5.0,1208.35,59322
HARIOMPIPE,4.99,712.7,259145
IEX,4.85,194.82,14692697
TARC,4.85,222.57,989423
HARSHA,4.7,536.3,253749
ICIL,4.69,378.3,474070
WENDT,4.64,15320.8,676
ACI,4.64,749.75,681984
KELLTONTEC,4.58,153.68,1735267
METROPOLIS,4.57,2071.9,227808
ARIHANTCAP,4.53,75.25,805541
BANCOINDIA,4.47,672.1,95184
DCW,4.4,77.65,6371771
DLINKINDIA,4.37,541.8,218251
EVEREADY,4.34,467.25,851741
JITFINFRA,4.32,1038.3,112454
COROMANDEL,4.28,1759.75,693778
UBL,4.24,1971.75,312571
ALLSEC,4.17,1021.5,36481
360ONE,4.17,1069.6,1240680
AHLUCONT,4.13,1320.4,59841
POLYCAB,4.07,6674.35,479575
BIOCON,4.06,340.95,3040369
ASAHIINDIA,4.06,638.45,69900
PFC,4.04,504.25,10378455
BORORENEW,4.01,510.4,810959
BALRAMCHIN,3.99,522.55,3515856
MALLCOM,3.92,1371.7,4373
PDMJEPAPER,3.86,113.42,250168
ASHOKLEY,3.85,255.95,11252720
MOREPENLAB,3.82,60.85,22225453
HCC,3.78,47.47,21323930
SANSERA,3.78,1467.05,214863
SCHNEIDER,3.75,823.4,219213
NITCO,3.71,77.62,574942
TCNSBRANDS,3.63,565.45,44081
COFORGE,3.52,6077.0,408062
GRASIM,3.5,2600.35,725887
ADANIPOWER,3.46,697.4,16281420
PATANJALI,3.45,1825.15,1020964
MOTILALOFS,3.42,623.15,1476847
GMRINFRA,3.39,95.87,10705031
TATAMOTORS,3.39,1098.35,11435650
TATAMTRDVR,3.37,749.95,2060805
SOLARINDS,3.3,10497.45,47832
BEL,3.27,303.3,21353408
IGARASHI,3.24,639.95,126119
ABBOTINDIA,3.24,27929.9,22838
JKCEMENT,3.23,4239.95,78661
ADSL,3.21,212.54,335821
AMIORG,3.09,1258.05,120333
BEPL,3.04,142.84,1246693
GTLINFRA,3.01,2.74,200155474
RVNL,2.99,570.65,21355519
SHRIRAMFIN,2.98,2981.5,995219
GLAXO,2.97,2905.85,139605
OBEROIRLTY,2.96,1766.15,718392
ERIS,2.91,1209.65,230279
PDSL,2.9,561.55,66414
RECLTD,2.83,579.65,6950751
INDIAMART,2.82,2748.7,203254
PANAMAPET,2.79,401.8,316048
CASTROLIND,2.79,252.3,4276339
AMBUJACEM,2.78,640.5,958226
KESORAMIND,2.78,207.06,332912
AJMERA,2.77,699.75,19005
M&MFIN,2.76,295.85,859734
BRIGADE,2.75,1152.35,1130217
CROMPTON,2.74,440.3,2956706
EMUDHRA,2.74,798.35,255419
BLUEDART,2.71,8051.85,9391
GANESHHOUC,2.7,874.7,53774
ABFRL,2.68,319.45,1757777
AFFLE,2.66,1554.5,422200
ULTRACEMCO,2.66,11295.7,435631
STYLAMIND,2.66,1911.05,19341
PUNJABCHEM,2.63,1216.75,4406
APOLLOHOSP,2.63,6686.9,611092
BLAL,2.63,281.3,144561
GAIL,2.6,232.55,10347738
VADILALIND,2.59,4131.6,7420
MANALIPETC,2.52,90.08,432483
LTIM,2.51,5563.75,445477
GIPCL,2.5,215.8,534148
ASIANTILES,2.49,79.74,1912195
CAMS,2.49,4272.7,434508
TIRUMALCHM,2.47,321.75,234678
PRICOLLTD,2.44,511.8,333546
FLUOROCHEM,2.43,3427.0,115009
HUHTAMAKI,2.37,433.4,213088
SKIPPER,2.35,415.8,606118
RAILTEL,2.35,475.4,1734742
GEECEE,2.33,369.5,32595
AHL,2.32,589.4,452536
GODREJPROP,2.32,2940.25,651391
NAZARA,2.3,942.8,971395
CUB,2.29,164.56,1257008
CYBERTECH,2.29,174.18,104462
BHEL,2.26,296.55,10118811
AMRUTANJAN,2.25,750.4,47184
TIINDIA,2.24,4011.25,195302
DHARMAJ,2.22,350.35,147545
ICICIBANK,2.2,1187.25,10961370
QUESS,2.19,698.4,240716
METROBRAND,2.15,1328.6,103230
LINC,2.15,602.4,43658
ORIENTELEC,2.14,269.9,361945
PILANIINVS,2.13,4824.95,4373
MSUMI,2.13,70.48,9629240
ITC,2.12,502.65,13137392
VEDL,2.11,429.05,9815524
IOC,2.09,167.17,10622879
