nsecode,per_chg,close,volume
SIGNPOST,20.0,265.42,874438
UFLEX,19.53,676.7,3935756
JINDALPOLY,18.71,889.5,1463862
CREST,12.98,456.65,1249512
ANANTRAJ,12.88,586.15,6890740
PGEL,12.37,490.1,3280659
GANECOS,10.65,1773.85,262837
ISGEC,10.08,1497.55,295667
SUVEN,9.9,142.36,2694943
MIRCELECTR,9.9,22.98,3365207
VINYLINDIA,9.61,408.25,221207
ARIHANTSUP,9.57,307.95,103585
POLYPLEX,9.27,1294.2,2675286
VISHNU,8.76,439.35,467949
INTLCONV,8.37,85.35,1598871
KIRLPNU,7.88,1349.6,202620
THEMISMED,7.83,263.7,1385485
ZENSARTECH,7.73,797.6,4344166
SINCLAIR,7.62,106.2,285518
DIAMONDYD,7.26,894.4,507834
GENESYS,7.18,711.75,721174
MOL,7.13,93.42,3684427
MPHASIS,7.07,2910.95,1786753
PATELENG,6.92,54.67,12163984
VOLTAMP,6.81,13939.95,36027
PAISALO,6.79,66.17,10626371
SANGAMIND,6.55,405.0,50105
ZAGGLE,6.35,375.0,5365321
MAPMYINDIA,6.32,2246.55,479505
ADVANIHOTR,6.23,79.28,740722
ABCAPITAL,6.2,216.09,10587128
FSL,5.96,307.7,38575796
LTTS,5.91,5207.55,529747
MCX,5.86,4636.35,1183924
DLF,5.51,866.9,8826463
MADRASFERT,5.38,111.35,2847097
SONACOMS,5.27,686.7,1924721
AVALON,4.94,488.8,215859
MEDIASSIST,4.91,559.85,248496
JNKINDIA,4.89,734.2,63019
BLSE,4.74,216.54,559894
PVRINOX,4.69,1500.05,1047796
WENDT,4.64,15320.8,676
360ONE,4.17,1069.6,1240680
POWERMECH,4.14,5905.15,125584
MOREPENLAB,3.82,60.85,22225453
SANSERA,3.78,1467.05,214863
NITCO,3.71,77.62,574942
ABBOTINDIA,3.24,27929.9,22838
ICICIGI,2.97,2036.7,1194117
CCL,2.94,683.65,811262
BRIGADE,2.75,1152.35,1130217
LTIM,2.51,5563.75,445477
FLUOROCHEM,2.43,3427.0,115009
RAMRAT,2.41,452.1,136842
VRLLOG,2.41,535.5,316432
AMRUTANJAN,2.25,750.4,47184
LINC,2.15,602.4,43658
INDUSINDBK,1.95,1364.15,5456176
HNDFDS,1.86,574.95,122354
EKC,1.12,169.18,2163747
LAURUSLABS,0.23,429.5,3156656
FINCABLES,-0.85,1465.25,173702
