nsecode,per_chg,close,volume
VISHNU,8.76,439.35,467949
ZENSARTECH,7.73,797.6,4344166
JINDALPHOT,7.5,844.45,40176
GENESYS,7.18,711.75,721174
VESUVIUS,6.64,5106.1,37554
POWERINDIA,6.37,11828.7,35705
KECL,5.75,213.99,618009
JUSTDIAL,5.27,1275.95,504563
COSMOFIRST,5.18,919.4,333574
MGL,5.07,1817.9,607441
SMSPHARMA,5.0,292.7,237356
TECHNOE,5.0,1647.25,187938
HARIOMPIPE,4.99,712.7,259145
NAHARPOLY,4.86,330.3,32625
IEX,4.85,194.82,14692697
TARC,4.85,222.57,989423
METROPOLIS,4.57,2071.9,227808
DLINKINDIA,4.37,541.8,218251
OMINFRAL,4.15,192.07,197401
POLYCAB,4.07,6674.35,479575
ADANIPOWER,3.46,697.4,16281420
BEL,3.27,303.3,21353408
BEPL,3.04,142.84,1246693
RVNL,2.99,570.65,21355519
CASTROLIND,2.79,252.3,4276339
BLUEDART,2.71,8051.85,9391
ABFRL,2.68,319.45,1757777
STYLAMIND,2.66,1911.05,19341
THANGAMAYL,2.53,1797.55,67001
OFSS,2.5,10898.45,435583
PRICOLLTD,2.44,511.8,333546
NAZARA,2.3,942.8,971395
KICL,2.27,5565.85,1152
QUESS,2.19,698.4,240716
PILANIINVS,2.13,4824.95,4373
IONEXCHANG,2.08,666.15,234472
IMPAL,2.04,1254.1,2902
IRIS,1.98,252.9,13281
INDIGO,1.61,4277.7,727461
POWERGRID,1.53,338.6,13013828
CRAFTSMAN,1.47,5430.65,75395
WABAG,1.44,1318.3,339207
IGL,1.36,545.85,764059
MINDACORP,1.29,517.45,950206
PFOCUS,1.01,139.05,46158
ZOTA,0.98,647.2,30744
RAYMOND,0.83,1849.85,189361
CIPLA,0.79,1576.1,909870
TORNTPOWER,0.57,1688.1,940549
ZYDUSWELL,0.26,2225.3,20975
GODREJAGRO,0.06,795.95,352105
