nsecode,per_chg,close,volume
SIGNPOST,20.0,265.42,874440
UFLEX,19.53,676.7,3935756
JINDALPOLY,18.71,889.5,1464452
CREST,12.98,456.65,1249519
ANANTRAJ,12.88,586.15,6891316
PGEL,12.37,490.1,3281194
GANECOS,10.65,1773.85,262887
ISGEC,10.08,1497.55,295668
SUVEN,9.9,142.36,2694943
VINYLINDIA,9.61,408.25,221222
ARIHANTSUP,9.57,307.95,103600
POLYPLEX,9.27,1294.2,2675458
VISHNU,8.76,439.35,467995
KIRLPNU,8.1,1352.3,202620
THEMISMED,7.83,263.7,1385835
ZENSARTECH,7.73,797.6,4345258
SINCLAIR,7.43,106.01,285518
DIAMONDYD,7.26,894.4,528564
GENESYS,7.18,711.75,721179
MOL,7.13,93.42,3685892
MPHASIS,7.07,2910.95,1786958
PATELENG,6.92,54.67,12165027
VOLTAMP,6.81,13939.95,36030
PAISALO,6.79,66.17,10629851
SANGAMIND,6.55,405.0,50105
ZAGGLE,6.35,375.0,5365321
MAPMYINDIA,6.32,2246.55,479515
ADVANIHOTR,6.23,79.28,740782
ABCAPITAL,6.2,216.09,10588004
FSL,5.96,307.7,38575796
LTTS,5.91,5207.55,529827
MCX,5.86,4636.35,1183989
DLF,5.51,866.9,8826463
MADRASFERT,5.38,111.35,2847248
SONACOMS,5.27,686.7,1925480
AVALON,4.94,488.8,215859
MEDIASSIST,4.91,559.85,248496
JNKINDIA,4.89,734.2,63026
BLSE,4.74,216.54,559895
PVRINOX,4.69,1500.05,1047802
360ONE,4.17,1069.6,1240705
POWERMECH,4.14,5905.15,125598
MOREPENLAB,3.82,60.85,22228973
SANSERA,3.78,1467.05,214883
NITCO,3.71,77.62,574942
ABBOTINDIA,3.24,27929.9,22838
ICICIGI,2.97,2036.7,1194186
CCL,2.94,683.65,811262
BRIGADE,2.75,1152.35,1130256
RAMRAT,2.73,453.5,136964
LTIM,2.51,5563.75,445477
FLUOROCHEM,2.43,3427.0,115011
VRLLOG,2.41,535.5,316432
TATAINVEST,2.39,6027.2,20040
AMRUTANJAN,2.25,750.4,47184
INDUSINDBK,1.95,1364.15,5456176
HNDFDS,1.86,574.95,122358
LINC,1.74,600.0,43658
EKC,1.12,169.18,2163747
LAURUSLABS,0.23,429.5,3156658
FINCABLES,-0.87,1465.05,173707
